"scenario","time","mean","q025","q975"
"Initiator analysis",2010,7.19831397897351,0.53442378435563,17.5778036157795
"Initiator analysis",2012,37.5017863770754,9.22719470726381,81.0777150994528
"Initiator analysis",2014,86.7004631229423,27.8205472003824,178.074046852036
"Initiator analysis",2016,165.734473680079,62.952655254251,325.927881328558
"Initiator analysis",2018,259.627611329073,103.101013705151,502.40758322334
"Initiator analysis",2020,303.218458936074,120.065380396265,588.536253765195
"Per-protocol sensitivity analysis",2010,6.08949016596389,-0.251575546637833,16.0277866508067
"Per-protocol sensitivity analysis",2012,29.7133198476149,2.54730868435581,71.9270424632474
"Per-protocol sensitivity analysis",2014,66.3002258487779,8.36177835664671,158.940462671371
"Per-protocol sensitivity analysis",2016,124.645862247685,20.0553726874951,296.015225903294
"Per-protocol sensitivity analysis",2018,196.797461475556,33.908193773102,461.876165016473
"Per-protocol sensitivity analysis",2020,230.550858244178,39.4507590135482,541.553956412802
"Per-protocol sensitivity analysis (high-dose)",2010,2.98560230271958,-3.36826082945953,15.487866781689
"Per-protocol sensitivity analysis (high-dose)",2012,16.6476588400331,-10.8201074497085,69.8360708940526
"Per-protocol sensitivity analysis (high-dose)",2014,40.5985133356948,-18.8172863847997,156.075706644646
"Per-protocol sensitivity analysis (high-dose)",2016,81.3343385005495,-28.1693769113325,294.906149966514
"Per-protocol sensitivity analysis (high-dose)",2018,131.767356808583,-39.7517826320464,465.205247976109
"Per-protocol sensitivity analysis (high-dose)",2020,156.237783212412,-45.7621971600341,548.965831577919
